280.7,-21.3,59.9
281.646,-18.771,59.9
282.591,-16.2421,59.9
283.537,-13.7131,59.9
284.483,-11.1842,59.9
285.428,-8.65524,59.9
286.549,-6.3674,59.9
289.246,-6.24954,59.9
291.944,-6.13167,59.9
294.641,-6.01381,59.9
297.339,-5.89594,59.9
300.036,-5.77808,59.9
301.771,-5.34762,59.9
299.658,-3.66677,59.9
297.545,-1.98593,59.9
295.432,-0.305086,59.9
293.319,1.37576,59.9
291.207,3.0566,59.9
289.944,5.01373,59.9
290.665,7.61553,59.9
291.387,10.2173,59.9
292.108,12.8191,59.9
292.83,15.4209,59.9
293.551,18.0227,59.9
293.083,18.9877,59.9
290.832,17.4976,59.9
288.58,16.0075,59.9
286.329,14.5173,59.9
284.077,13.0272,59.9
281.826,11.5371,59.9
279.574,11.5371,59.9
277.323,13.0272,59.9
275.071,14.5173,59.9
272.82,16.0075,59.9
270.568,17.4976,59.9
268.317,18.9877,59.9
267.849,18.0227,59.9
268.57,15.4209,59.9
269.292,12.8191,59.9
270.013,10.2173,59.9
270.735,7.61552,59.9
271.456,5.01373,59.9
270.194,3.0566,59.9
268.081,1.37576,59.9
265.968,-0.305089,59.9
263.855,-1.98593,59.9
261.742,-3.66677,59.9
259.629,-5.34761,59.9
261.364,-5.77808,59.9
264.061,-5.89594,59.9
266.759,-6.01381,59.9
269.456,-6.13167,59.9
272.154,-6.24954,59.9
274.851,-6.3674,59.9
275.972,-8.65524,59.9
276.917,-11.1842,59.9
277.863,-13.7132,59.9
278.809,-16.2421,59.9
279.754,-18.771,59.9
280.7,-16.8,59.9
281.457,-14.7746,59.9
282.215,-12.7492,59.9
282.972,-10.7238,59.9
283.729,-8.69841,59.9
284.487,-6.67301,59.9
285.384,-4.84071,59.9
287.545,-4.74631,59.9
289.705,-4.65191,59.9
291.865,-4.55752,59.9
294.026,-4.46312,59.9
296.186,-4.36873,59.9
297.576,-4.02398,59.9
295.883,-2.67781,59.9
294.191,-1.33165,59.9
292.499,0.0145106,59.9
290.807,1.36067,59.9
289.115,2.70683,59.9
288.103,4.27427,59.9
288.681,6.35801,59.9
289.259,8.44175,59.9
289.837,10.5255,59.9
290.414,12.6092,59.9
290.992,14.693,59.9
290.618,15.4658,59.9
288.814,14.2724,59.9
287.011,13.079,59.9
285.208,11.8856,59.9
283.405,10.6921,59.9
281.602,9.49871,59.9
279.798,9.49871,59.9
277.995,10.6921,59.9
276.192,11.8856,59.9
274.389,13.079,59.9
272.586,14.2724,59.9
270.782,15.4658,59.9
270.408,14.693,59.9
270.986,12.6092,59.9
271.563,10.5255,59.9
272.141,8.44175,59.9
272.719,6.358,59.9
273.297,4.27427,59.9
272.286,2.70683,59.9
270.593,1.36067,59.9
