89,4,0,3,3,2.7,1,0,-1
93,-13,0,3,3,2.7,1,0,-1
99,4,0,3,3,2.7,1,0,-1
104,4,0,3,3,2.7,1,0,-1
109,4,0,3,3,2.7,1,0,-1
114,4,0,3,3,2.7,1,0,-1
77,21,0,3,3,2.7,1,0,-1
98,-13,0,3,3,2.7,1,0,-1
103,-13,0,3,3,2.7,1,0,-1
108,-13,0,3,3,2.7,1,0,-1
113,-13,0,3,3,2.7,1,0,-1
119,-13,0,3,3,2.7,1,0,-1
94,4,0,3,3,2.7,1,0,-1
82,21,0,3,3,2.7,1,0,-1
87,21,0,3,3,2.7,1,0,-1
92,21,0,3,3,2.7,1,0,-1
97,21,0,3,3,2.7,1,0,-1
102,21,0,3,3,2.7,1,0,-1
107,21,0,3,3,2.7,1,0,-1
112,21,0,3,3,2.7,1,0,-1
117,21,0,3,3,2.7,1,0,-1
258,-6,0,2.9,2.7,2.6,1,0,1
