3,-18,0,10,12,30,0,1,1,1,7,8,2.7,0,2,2,0
33,-9,0,10,12,30,0,1,1,1,3,0.5,2.7,0,2,2,0
64,-3,0,10,12,30,0,1,1,1,10,23,2.7,0,0,0,0
144,9,0,10,12,30,0,1,1,1,10,35,2.7,0,0,0,0
94,40,0,10,12,30,0,1,1,1,40,4,2.7,0,0,0,0
98,19,0,10,12,30,0,1,1,1,24,1,2.7,0,2,2,0
110,2,0,10,12,30,0,1,1,1,24,1,2.7,0,2,2,0
98,-20,0,10,12,30,0,1,1,1,24,6,2.7,0,2,2,0
102,-41,0,10,12,30,0,0,1,1,10,15,2.7,2,2,2,2
136,-50,0,10,12,30,0,1,1,1,24,6,2.7,0,2,2,0
235,-13,0,10,12,30,0,1,1,1,20,6,2.7,0,2,2,0
210,1,0,10,12,30,0,1,1,1,5,20,2.7,0,2,2,0
270,-5,0,10,12,30,0,1,1,1,3,14,2.7,0,2,2,0
296,-6,0,10,12,30,0,1,1,1,5,10,2.7,0,2,2,0
